number,value,datetime_start,datetime_complete,duration,params_D,params_F1,params_F2,params_batch_size,params_dropout,params_grad_clip,params_huber_delta,params_loss,params_lr,params_meanmax_alpha,params_norm,params_pool1,params_pool2,params_separable_kern,params_temporal_kern,params_weight_decay,user_attrs_fold_details,user_attrs_mean_best_val_nrmse,user_attrs_std_best_val_nrmse,state
22,0.9715305019481156,2026-05-26 01:19:03.607929,2026-05-26 01:21:57.516067,0 days 00:02:53.908138,3,12,48,4,0.41932867149136416,5.0,0.6683422483236235,huber,0.0007065265515685219,0.5,group,4,16,15,31,1e-05,,,,PRUNED
23,0.9535821364058631,2026-05-26 01:21:57.673710,2026-05-26 01:31:48.849612,0 days 00:09:51.175902,3,12,48,4,0.3263478194252343,5.0,0.6471866439986672,huber,0.001157687211499054,0.5,group,4,16,15,31,1e-05,"[{'trial': 23, 'fold': 1, 'best_epoch': 12, 'best_val_loss': 0.16256291425919958, 'best_val_rmse': 0.6133852534244348, 'best_val_nrmse': 0.9215464594685653, 'best_val_mae': 0.48900000768758, 'best_val_r2': 0.1507521230409522}, {'trial': 23, 'fold': 2, 'best_epoch': 2, 'best_val_loss': 0.2737791126682645, 'best_val_rmse': 0.881538530222332, 'best_val_nrmse': 0.9750400319204374, 'best_val_mae': 0.67526125872419, 'best_val_r2': 0.04929693615259256}, {'trial': 23, 'fold': 3, 'best_epoch': 3, 'best_val_loss': 0.21785326437516647, 'best_val_rmse': 0.7342215402132573, 'best_val_nrmse': 0.9812064780794658, 'best_val_mae': 0.5789859687316824, 'best_val_r2': 0.03723384737489066}, {'trial': 23, 'fold': 4, 'best_epoch': 17, 'best_val_loss': 0.23780609028679983, 'best_val_rmse': 0.787209479291554, 'best_val_nrmse': 0.9131389680310306, 'best_val_mae': 0.621628941302853, 'best_val_r2': 0.1661772250632244}, {'trial': 23, 'fold': 5, 'best_epoch': 4, 'best_val_loss': 0.25270172411745245, 'best_val_rmse': 0.8446090463725948, 'best_val_nrmse': 0.9769787445298165, 'best_val_mae': 0.6338759846562012, 'best_val_r2': 0.04551253273694378}]",0.9535821364058631,0.03328994318689258,COMPLETE
24,0.9526231721902667,2026-05-26 01:31:49.011729,2026-05-26 01:43:26.663182,0 days 00:11:37.651453,3,12,48,4,0.32474889801489437,5.0,0.6597904710813127,huber,0.0017335317278786787,0.5,group,4,16,15,31,1e-05,"[{'trial': 24, 'fold': 1, 'best_epoch': 13, 'best_val_loss': 0.1609608464918676, 'best_val_rmse': 0.6169371500850875, 'best_val_nrmse': 0.9268828084820909, 'best_val_mae': 0.47515008971095085, 'best_val_r2': 0.14088825934035154}, {'trial': 24, 'fold': 2, 'best_epoch': 2, 'best_val_loss': 0.27890547684260775, 'best_val_rmse': 0.8876284565456729, 'best_val_nrmse': 0.9817758939992122, 'best_val_mae': 0.679975417398271, 'best_val_r2': 0.036116093962047735}, {'trial': 24, 'fold': 3, 'best_epoch': 5, 'best_val_loss': 0.22858773307366806, 'best_val_rmse': 0.7393519470345209, 'best_val_nrmse': 0.988062703527094, 'best_val_mae': 0.6015998280437832, 'best_val_r2': 0.023732093898729656}, {'trial': 24, 'fold': 4, 'best_epoch': 24, 'best_val_loss': 0.2500038870743343, 'best_val_rmse': 0.7921956618059831, 'best_val_nrmse': 0.9189227875548218, 'best_val_mae': 0.6326142135741455, 'best_val_r2': 0.1555809105124757}, {'trial': 24, 'fold': 5, 'best_epoch': 8, 'best_val_loss': 0.2421378069980578, 'best_val_rmse': 0.8190998483215266, 'best_val_nrmse': 0.947471667388115, 'best_val_mae': 0.5910315470008011, 'best_val_r2': 0.10229743949678527}]",0.9526231721902667,0.03134749519649228,COMPLETE
25,0.9608866219078857,2026-05-26 01:43:26.823751,2026-05-26 01:46:35.688098,0 days 00:03:08.864347,3,12,48,4,0.3200406346622976,5.0,1.013443698849011,huber,0.00043116394135705506,0.5,group,4,4,15,31,1e-05,,,,PRUNED
26,0.9558779524144811,2026-05-26 01:46:35.851359,2026-05-26 01:48:42.673449,0 days 00:02:06.822090,3,8,48,4,0.23005977801362407,5.0,0.6639953885463128,huber,0.000684824170654857,0.5,group,4,16,15,31,1e-05,,,,PRUNED
27,0.9557945230105451,2026-05-26 01:48:42.833685,2026-05-26 01:51:36.563454,0 days 00:02:53.729769,3,12,48,4,0.32839928376485955,0.5,0.744351606626826,huber,0.00024326783061144326,0.5,group,4,16,7,31,1e-05,,,,PRUNED
28,0.9561265182641631,2026-05-26 01:51:36.719883,2026-05-26 02:02:16.659409,0 days 00:10:39.939526,3,12,48,8,0.24922447230661887,1.0,1.0182232133922764,huber,0.001658284214891247,0.1,group,4,16,31,63,1e-05,"[{'trial': 28, 'fold': 1, 'best_epoch': 10, 'best_val_loss': 0.18653726187490283, 'best_val_rmse': 0.6152395744600462, 'best_val_nrmse': 0.9243323806747656, 'best_val_mae': 0.49637157736080034, 'best_val_r2': 0.14560965003612014}, {'trial': 28, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.3427912110374087, 'best_val_rmse': 0.8889931895233039, 'best_val_nrmse': 0.9832853791101314, 'best_val_mae': 0.6799243300088814, 'best_val_r2': 0.0331498632282452}, {'trial': 28, 'fold': 3, 'best_epoch': 22, 'best_val_loss': 0.2225447270003232, 'best_val_rmse': 0.675779531395787, 'best_val_nrmse': 0.9031051496615833, 'best_val_mae': 0.5594171969304708, 'best_val_r2': 0.18440108865472926}, {'trial': 28, 'fold': 4, 'best_epoch': 1, 'best_val_loss': 0.31536016010102774, 'best_val_rmse': 0.8412227949089981, 'best_val_nrmse': 0.9757927655021102, 'best_val_mae': 0.6377095175197437, 'best_val_r2': 0.04782847879374352}, {'trial': 28, 'fold': 5, 'best_epoch': 6, 'best_val_loss': 0.3152524395422502, 'best_val_rmse': 0.8594251875194039, 'best_val_nrmse': 0.9941169163722247, 'best_val_mae': 0.6329174004071816, 'best_val_r2': 0.011731556582579294}]",0.9561265182641631,0.03996801241251531,COMPLETE
29,0.969396898699137,2026-05-26 02:02:16.817126,2026-05-26 02:07:28.838751,0 days 00:05:12.021625,1,12,48,2,0.2942827562527102,2.0,0.37452890977542036,huber,0.0009258603498933897,0.25,group,4,16,63,95,1e-05,"[{'trial': 29, 'fold': 1, 'best_epoch': 24, 'best_val_loss': 0.12158792131369756, 'best_val_rmse': 0.5983362896767663, 'best_val_nrmse': 0.8989369833148592, 'best_val_mae': 0.4796265514478797, 'best_val_r2': 0.1919123000287808}, {'trial': 29, 'fold': 2, 'best_epoch': 1, 'best_val_loss': 0.19254310606490999, 'best_val_rmse': 0.8880834230908956, 'best_val_nrmse': 0.9822791171477963, 'best_val_mae': 0.6812511281598181, 'best_val_r2': 0.03512773601534602}, {'trial': 29, 'fold': 3, 'best_epoch': 2, 'best_val_loss': 0.16013346104459328, 'best_val_rmse': 0.7353171742462745, 'best_val_nrmse': 0.9826706726745857, 'best_val_mae': 0.58418760698458, 'best_val_r2': 0.03435834906527724}, {'trial': 29, 'fold': 4, 'best_epoch': 1, 'best_val_loss': 0.17778078005427406, 'best_val_rmse': 0.8411383181254847, 'best_val_nrmse': 0.9756947750117144, 'best_val_mae': 0.6265522534737274, 'best_val_r2': 0.04801970601483985}, {'trial': 29, 'fold': 5, 'best_epoch': 1, 'best_val_loss': 0.1812662588517097, 'best_val_rmse': 0.8709111080934853, 'best_val_nrmse': 1.0074029453467295, 'best_val_mae': 0.63219879089262, 'best_val_r2': -0.014860694293265642}]",0.969396898699137,0.04120335887854705,COMPLETE
30,0.9502400439491854,2026-05-26 02:07:28.995675,2026-05-26 02:09:14.963108,0 days 00:01:45.967433,3,12,16,2,0.29308983443797576,5.0,0.5517834292340517,huber,0.0029977965195987885,0.5,group,4,4,15,31,0.0,,,,PRUNED
31,0.9496455611353659,2026-05-26 02:09:15.120236,2026-05-26 02:11:53.984748,0 days 00:02:38.864512,3,12,48,4,0.4010928088414483,5.0,0.671431981587162,huber,0.0019845576041095927,0.5,group,4,16,15,31,1e-05,,,,PRUNED
